datetime,Global_active_power,Global_reactive_power,Sub_metering_1,Sub_metering_2,Sub_metering_3,sub_metering_remainder,Voltage,Global_intensity,RR,NBJRR1,NBJRR5,NBJRR10,NBJBROU
2006-12-16,1209.1760000000006,34.921999999999976,0.0,546.0,4926.0,14680.933333333334,236.24376262626276,13.082828282828302,67.8,9.0,5.0,3.0,2.0
2006-12-17,3390.46,226.0059999999994,2033.0,4187.0,13341.0,36946.666666666715,240.08702777777793,9.999027777777764,67.8,9.0,5.0,3.0,2.0
2006-12-18,2203.8259999999964,161.79199999999966,1063.0,2621.0,14018.0,19028.433333333334,241.23169444444474,6.421666666666658,67.8,9.0,5.0,3.0,2.0
2006-12-19,1666.1940000000006,150.94199999999978,839.0,7602.0,6197.0,13131.899999999996,241.99931250000026,4.926388888888899,67.8,9.0,5.0,3.0,2.0
2006-12-20,2225.747999999999,160.99799999999985,0.0,2648.0,14063.0,20384.800000000014,242.30806250000026,6.4673611111111065,67.8,9.0,5.0,3.0,2.0
2006-12-21,1717.1139999999994,144.16599999999997,1765.0,2623.0,10421.0,13809.56666666667,241.04190277777738,5.028194444444446,67.8,9.0,5.0,3.0,2.0
2006-12-22,2341.3379999999993,186.90600000000023,3151.0,350.0,11131.0,24390.300000000025,241.18454861111076,6.872916666666655,67.8,9.0,5.0,3.0,2.0
2006-12-23,4773.385999999998,221.4700000000001,2669.0,425.0,14726.0,61736.433333333356,240.13607638888902,14.028055555555559,67.8,9.0,5.0,3.0,2.0
2006-12-24,2550.012000000007,149.89999999999992,1703.0,5082.0,6891.0,28824.200000000004,241.6874375000003,7.640416666666739,67.8,9.0,5.0,3.0,2.0
2006-12-25,2743.1200000000053,240.27999999999986,6620.0,1962.0,5795.0,31341.66666666668,243.3999305555553,7.951527777777767,67.8,9.0,5.0,3.0,2.0
2006-12-26,3934.11,165.1019999999998,1086.0,2533.0,14979.0,46970.5,241.6254375,11.347916666666674,67.8,9.0,5.0,3.0,2.0
2006-12-27,1528.7600000000004,178.90200000000007,0.0,314.0,6976.0,18189.333333333376,243.7673611111116,4.517499999999999,67.8,9.0,5.0,3.0,2.0
2006-12-28,2072.638,208.8759999999999,2207.0,4419.0,9176.0,18741.966666666678,243.26833333333332,6.086250000000001,67.8,9.0,5.0,3.0,2.0
2006-12-29,3174.3919999999966,196.39400000000023,1252.0,5162.0,11329.0,35163.533333333326,240.87130555555564,9.271388888888861,67.8,9.0,5.0,3.0,2.0
2006-12-30,2802.336000000001,312.7199999999997,3147.0,7938.0,12515.0,23105.60000000005,240.53597222222194,8.318888888888864,67.8,9.0,5.0,3.0,2.0
